time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T21:42:23.220Z,38.8450012,-122.8205032,1.85,0.7,md,6,105,0.009897,0.01,nc,nc73827646,2023-01-01T21:44:00.977Z,"9km WNW of Cobb, CA",earthquake,0.92,1.59,0.52,8,automatic,nc,nc
2023-01-01T21:37:01.600Z,34.3146667,-116.453,8.04,1.38,ml,22,102,0.06273,0.12,ci,ci37485724,2023-01-05T15:50:10.660Z,"22km N of Yucca Valley, CA",earthquake,0.23,0.51,0.211,12,reviewed,ci,ci
2023-01-01T21:36:26.540Z,34.3083333,-116.45,8.53,1.45,ml,30,99,0.05831,0.13,ci,ci40152799,2023-01-05T15:43:32.457Z,"22km N of Yucca Valley, CA",earthquake,0.19,0.34,0.153,23,reviewed,ci,ci
2023-01-01T21:34:52.760Z,34.3088333,-116.4551667,7.79,1.48,ml,31,99,0.06255,0.12,ci,ci40152783,2023-01-05T15:34:41.490Z,"22km N of Yucca Valley, CA",earthquake,0.18,0.39,0.153,24,reviewed,ci,ci
2023-01-01T21:33:14.290Z,35.7943333,-117.6298333,4.86,1,ml,15,71,0.03386,0.11,ci,ci40152791,2023-01-25T23:02:27.744Z,"20km NNE of Ridgecrest, CA",earthquake,0.19,0.3,0.186,5,reviewed,ci,ci
2023-01-01T21:32:44.421Z,-21.3126,-67.2105,201.911,4.4,mb,47,40,1.862,0.69,us,us7000j1h7,2023-03-11T22:51:30.040Z,"Potosi, Bolivia",earthquake,7.61,6.994,0.127,18,reviewed,us,us
2023-01-01T21:27:32.580Z,19.1521666666667,-155.362666666667,28.79,1.39,md,18,222,,0.12,hv,hv73291127,2023-01-12T02:07:25.770Z,"Island of Hawaii, Hawaii",earthquake,0.73,0.79,0.106638968043261,11,reviewed,hv,hv
2023-01-01T21:24:15.849Z,29.7295,70.1934,10,4.3,mb,33,138,4.706,0.68,us,us7000j1h6,2023-03-11T22:51:30.040Z,"25 km NW of Dajal, Pakistan",earthquake,9.06,1.935,0.153,12,reviewed,us,us
2023-01-01T21:23:47.177Z,31.68425514,-104.421101,6.131567383,3.3,ml,35,58,0.005694830054,0.2,tx,tx2023abqj,2023-03-11T22:51:30.040Z,"54 km S of Whites City, New Mexico",earthquake,0.6818347955,0.4618944496,0.2,26,reviewed,tx,tx
2023-01-01T21:18:30.580Z,51.784,-178.816666666667,2.83,0.92,ml,4,126,,0.07,av,av91741321,2023-01-03T19:22:57.530Z,"150 km W of Adak, Alaska",earthquake,0.49,1.16,0.212445157927756,4,reviewed,av,av
2023-01-01T21:18:07.200Z,19.2075004577637,-155.384674072266,33.2099990844727,1.70000005,md,25,171,,0.100000001,hv,hv73291117,2023-01-01T21:21:19.580Z,"Island of Hawaii, Hawaii",earthquake,0.66,0.730000019,0.560000002,3,automatic,hv,hv
2023-01-01T21:06:53.036Z,57.5108,-155.6495,15.8,2.1,ml,,,,0.38,ak,ak023202udf,2023-01-23T17:35:50.397Z,"71 km W of Karluk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
